run_name,epoch,global_step,train_loss,learning_rate,dev_accuracy
GNLI_PROXY_3way,1,25,0.10158309004080365,0.00018382352941176473,
GNLI_PROXY_3way,1,50,0.05092369041271923,0.00036764705882352946,
GNLI_PROXY_3way,1,75,0.03396891254467088,0.0004967350746268657,
GNLI_PROXY_3way,1,100,0.025481399095463077,0.0004850746268656717,
GNLI_PROXY_3way,1,125,0.020395204311371345,0.00047341417910447763,
GNLI_PROXY_3way,1,150,0.016998586689212895,0.0004617537313432836,
GNLI_PROXY_3way,1,175,0.014572232436603697,0.00045009328358208955,
GNLI_PROXY_3way,1,200,0.014497025578415474,0.00043843283582089556,
GNLI_PROXY_3way,1,225,0.012891008194691014,0.00042677238805970146,
GNLI_PROXY_3way,1,250,0.011711917779298232,0.0004151119402985075,
GNLI_PROXY_3way,1,275,0.011040241996040239,0.00040345149253731344,
GNLI_PROXY_3way,1,300,0.01226080934939309,0.00039179104477611945,
GNLI_PROXY_3way,1,325,0.011504551258265197,0.00038013059701492535,
GNLI_PROXY_3way,1,350,0.010687509214631795,0.00036847014925373136,
GNLI_PROXY_3way,1,375,0.009975858806091158,0.0003568097014925373,
GNLI_PROXY_3way,1,400,0.009352920701939027,0.00034514925373134333,
GNLI_PROXY_3way,1,425,0.008803194448175471,0.00033348880597014924,
GNLI_PROXY_3way,1,450,0.00831445943405836,0.00032182835820895525,
GNLI_PROXY_3way,1,475,0.007877120767501777,0.0003101679104477612,
GNLI_PROXY_3way,1,500,0.007483450041244623,0.00029850746268656717,
GNLI_PROXY_3way,1,525,0.00712726728786437,0.0002868470149253731,
GNLI_PROXY_3way,1,550,0.006803432507715958,0.00027518656716417914,
GNLI_PROXY_3way,1,570,0.006564840592014121,0.0002658582089552239,1.0
GNLI_PROXY_3way,2,575,2.279366725588261e-06,0.0002635261194029851,
GNLI_PROXY_3way,2,600,2.514070709243773e-06,0.00025186567164179105,
GNLI_PROXY_3way,2,625,2.6493780801863728e-06,0.000240205223880597,
GNLI_PROXY_3way,2,650,2.602805778240125e-06,0.000228544776119403,
GNLI_PROXY_3way,2,675,2.490046880120915e-06,0.00021688432835820896,
GNLI_PROXY_3way,2,700,2.603635253282623e-05,0.00020522388059701494,
GNLI_PROXY_3way,2,725,2.2865578292102246e-05,0.0001935634328358209,
GNLI_PROXY_3way,2,750,2.4717945634655793e-05,0.00018190298507462688,
GNLI_PROXY_3way,2,775,2.219926342392818e-05,0.00017024253731343284,
GNLI_PROXY_3way,2,800,2.021420721406865e-05,0.00015858208955223883,
GNLI_PROXY_3way,2,825,1.8584067893212977e-05,0.00014692164179104479,
GNLI_PROXY_3way,2,850,1.719695380962045e-05,0.00013526119402985074,
GNLI_PROXY_3way,2,875,1.6028744956311017e-05,0.00012360074626865673,
GNLI_PROXY_3way,2,900,1.5002957396151569e-05,0.00011194029850746269,
GNLI_PROXY_3way,2,925,1.4111121401417933e-05,0.00010027985074626866,
GNLI_PROXY_3way,2,950,1.3328550607794617e-05,8.861940298507463e-05,
GNLI_PROXY_3way,2,975,1.2642755907044387e-05,7.695895522388059e-05,
GNLI_PROXY_3way,2,1000,1.2354294300217221e-05,6.529850746268656e-05,
GNLI_PROXY_3way,2,1025,1.1899490440306147e-05,5.363805970149254e-05,
GNLI_PROXY_3way,2,1050,1.1411060865684774e-05,4.197761194029851e-05,
GNLI_PROXY_3way,2,1075,1.1039523770260093e-05,3.031716417910448e-05,
GNLI_PROXY_3way,2,1100,1.0706171411436357e-05,1.8656716417910448e-05,
GNLI_PROXY_3way,2,1125,1.030642647392781e-05,6.996268656716418e-06,
GNLI_PROXY_3way,2,1140,1.008955680329418e-05,0.0,1.0
