train_dataset,ANLI,GNLI_PROXY,MNLI,WANLI
ANLI,0.39,0.912568306010929,0.6933333333333334,0.5633333333333334
ANLI+GNLI_PROXY,0.4033333333333333,1.0,0.6966666666666667,0.55
GNLI_PROXY,0.33,1.0,0.5966666666666667,0.49333333333333335
MNLI,0.29,0.9890710382513661,0.7766666666666666,0.5466666666666666
MNLI+ANLI+WANLI,0.3566666666666667,0.9398907103825137,0.7033333333333334,0.59
MNLI+GNLI_PROXY,0.2866666666666667,1.0,0.7333333333333333,0.5366666666666666
WANLI,0.38,0.8743169398907104,0.6433333333333333,0.5366666666666666
WANLI+GNLI_PROXY,0.3233333333333333,1.0,0.6533333333333333,0.57
